Date;Text;likes;retweets;replys
2022-06-03;uff. ich wusste gar nicht wie viele leute noch kitkat essen ;889;26;459
2022-06-02;hier ist ein podcast von  leicht verständlich und klar der fast alles was man zu affenpocken derzeit weiß gut zusammenfasst. sehr hörenswert ;508;84;325
2022-06-01;die vierte impfung senkte das risiko gegen schwere krankheit im vergleich zur 3. dosis um weitere 77. damit wäre das risiko auch älterer menschen sehr gering schwer zu erkranken. der schutz hält auch relativ lange an. wir nutzen die 4. impfung zu wenig.  ;2890;412;2519
2022-06-01;die korrigierte who studie zur übersterblichkeit durch covidzeigt dass deutschland bisher relativ gut durch die pandemie kam. mit einer besseren impfquote könnten wir noch mehr erreichen. ;1267;152;1678
2022-06-01;das  hat in der coronakrise internationale beachtung gefunden. wenige länder verfügen über ein solche einrichtung. daher hat sein rat internationales gewicht. ein guter arbeitsplatz für engagierte wissenschaftlerinnen. ;763;63;812
2022-06-01;wer 25 jahre nach beginn der pandemie noch bezweifelt dass masken im innenraum schützen ist in der regel durch ideologie motiviert. ihnsie werden auch studien mit 20 mio teilnehmern nicht überzeugen. trotzdem ist die studie wichtig für unser handeln gerade im herbst. ;4758;555;2246
2022-05-31;in portugal zeigt sich leider dass mit der ba5 omicron variante auch die sterblichkeit wieder steigt. im herbst müssen wir darauf vorbereitet sein.  ;3045;485;2731
2022-05-31;mit dem gesundheitswissenschaftler gerd glaeske stirbt ein pionier der forschung zur arzneimittelsicherheit. ich habe ihn als persönlichkeit und wissenschaftler geschätzt. er hinterlässt ein große lücke. mein beileid der familie und den freunden.  ;706;51;116
2022-05-30;hier gute info  zur isolierung bei affenpocken infektion. der bestellte impfstoff 40.000 einheiten im juni kann für kontakte von infizierten und risikogruppen genutzt werden. 200.000 einheiten kommen später. das impfkonzept wird mit fachleuten auch aus praxis entwickelt ;734;100;977
2022-05-30;das ist eine eher schlechte entwicklung. die besonders ansteckende variante ba4ba5 ist auch bei uns auf dem vormarsch. dies könnte im herbst die nächste welle werden. ;1887;355;2508
2022-05-29;in den usa läuft die ba45 welle jetzt schon an. das könnte uns im herbst bevorstehen. die vorbereitung muss jetzt geschehen. eine komplette normalität wie herbst 2019 ist leider sehr unwahrscheinlich. aber es wird besser als 2021. ;1609;260;1903
2022-05-29;gute zusammenfassung. danke  ;311;28;137
2022-05-29;das sind in der tendenz gute nachrichten. affenpocken mutieren sehr wenig und die bisherigen neuen mutationen deuten bisher nicht auf einen neuen höheren rwert hin. die größe der ansteckungscluster könnte entscheidend sein. aber alles noch vorläufig. ;611;51;459
2022-05-28;ohne ärzte keine krankheit? vielleicht denken wir alle zu kompliziert und die lösungen sind so einfach ;15372;973;2094
2022-05-27;die charakterliche integrität von  kann ich bestätigen. aber auch die fachkompetenz.  eine erfolgreiche zusammenarbeit beim thema affenpocken gelingt zb nur indem wir ohne diskriminierung mit einem glaubwürdigen queer beauftragen risikogruppen erreichen. ;1362;69;779
2022-05-26;lesenswertes interview zu affenpocken mit einem spezialisten ;569;74;611
2022-05-26;ich begrüße diesen schritt ausdrücklich. gute medizin steht auf dem boden der wissenschaft. für homöopathie gibt es dort keinen platz. in einer solchen frage muss man farbe bekennen. ;11202;806;1619
2022-05-26;diese studie zu longcovid und impfungen ist wichtig auch wenn das ergebnis ernüchtert. das longcovid risiko sinkt durch die impfungen aber nicht so stark wie erhofft. daher ist die vermeidung der infektion durch freiwilliges maskentragen weiter sinnvoll. ;2461;444;1804
2022-05-25;bin heute abend bei markus lanz zu gast. ein thema affenpocken. es werden heute keine verordnungen oder gesetze einkassiert  kommentare willkommen.  ;2584;124;2018
2022-05-25;im  erscheint preprint zur wirkung 4. dosis mrna bei ü 80 j in pflege. sterblichkeit omicron sank um mehr als 13. die 4. dosis wird in deutschland viel zu wenig genutzt. omicron gilt zu unrecht als harmlos täglich sterben 100 menschen ;778;143;1002
2022-05-24;together we can achieve a lot. new pandemics can be prevented if we educate people how it can be done. who is rising to this challenge. ;588;56;411
2022-05-24;just erelected as director general of who . 155160 votes spectacular result. congratulations fully deserved. ;1868;474;598
2022-05-24;die omicron ba1 variante verlief leichter als die nach ihr aufgetretene ba2 variante. ba4ba5 und ba2.12.1 noch unklar. es gibt auf keinen fall ein gesetz evolution macht virus immer harmloser. daher ist die herbst vorbereitung mit mehreren impfstoffen wichtig. ;935;96;905
