Datum;Text;likes;retweets;replys;Uhrzeit des Tweets;Wochentag
2022-06-03;uff. ich wusste gar nicht, wie viele leute noch kitkat essen… https://t.co/wxgff8isxh;889;26;459;12:09:41;Freitag
2022-06-02;hier ist ein podcast von @kakape, leicht verständlich und klar, der fast alles, was man zu #affenpocken derzeit weiß, gut zusammenfasst. sehr hörenswert https://t.co/fk2bjxymjo;508;84;325;14:20:14;Donnerstag
2022-06-01;die vierte impfung senkte das risiko gegen schwere krankheit im vergleich zur 3. dosis um weitere 77%. damit wäre das risiko auch älterer menschen sehr gering, schwer zu erkranken. der schutz hält auch relativ lange an. wir nutzen die 4. impfung zu wenig.  https://t.co/6ilrtf5p9z;2890;412;2519;22:04:57;Mittwoch
2022-06-01;die korrigierte who studie zur übersterblichkeit durch covidzeigt, dass deutschland bisher relativ gut durch die pandemie kam. mit einer besseren impfquote könnten wir noch mehr erreichen. https://t.co/ek8herldus;1267;152;1678;20:58:24;Mittwoch
2022-06-01;das @rki_de hat in der corona-krise internationale beachtung gefunden. wenige länder verfügen über ein solche einrichtung. daher hat sein rat internationales gewicht. ein guter arbeitsplatz für engagierte wissenschaftlerinnen. https://t.co/pmyflz67ff;763;63;812;11:32:01;Mittwoch
2022-06-01;wer 2,5 jahre nach beginn der pandemie noch bezweifelt, dass masken im innenraum schützen, ist in der regel durch ideologie motiviert. ihn/sie werden auch studien mit 20 mio teilnehmern nicht überzeugen. trotzdem ist die studie wichtig für unser handeln, gerade im herbst. https://t.co/ytjv9ocoe2;4758;555;2246;11:01:10;Mittwoch
2022-05-31;in portugal zeigt sich leider, dass mit der ba5 omicron variante auch die sterblichkeit wieder steigt. im herbst müssen wir darauf vorbereitet sein.  https://t.co/1dvtss9tv4;3045;485;2731;22:39:51;Dienstag
2022-05-31;mit dem gesundheitswissenschaftler gerd glaeske stirbt ein pionier der forschung zur arzneimittelsicherheit. ich habe ihn als persönlichkeit und wissenschaftler geschätzt. er hinterlässt ein große lücke. mein beileid der familie und den freunden.  https://t.co/xhvuwauzus;706;51;116;20:18:25;Dienstag
2022-05-30;hier gute info @rki_de zur isolierung bei affenpocken infektion. der bestellte impfstoff, 40.000 einheiten im juni, kann für kontakte von infizierten und risikogruppen genutzt werden. 200.000 einheiten kommen später. das impfkonzept wird mit fachleuten auch aus praxis entwickelt https://t.co/a5uqjcbzkj;734;100;977;18:46:20;Montag
2022-05-30;das ist eine eher schlechte entwicklung. die besonders ansteckende variante ba4/ba5 ist auch bei uns auf dem vormarsch. dies könnte im herbst die nächste welle werden. https://t.co/grrvjvwuio;1887;355;2508;17:28:46;Montag
2022-05-29;in den usa läuft die ba4/5 welle jetzt schon an. das könnte uns im herbst bevorstehen. die vorbereitung muss jetzt geschehen. eine komplette normalität wie herbst 2019 ist leider sehr unwahrscheinlich. aber es wird besser als 2021. https://t.co/f7jad4t5ve;1609;260;1903;17:24:54;Sonntag
2022-05-29;gute zusammenfassung. danke @kakape https://t.co/xrdq6llktp;311;28;137;17:08:41;Sonntag
