Date;Text;likes;retweets;replys
2022-06-03 10:09:41+00:00;Uff. Ich wusste gar nicht, wie viele Leute noch KitKat essen… https://t.co/WXgff8Isxh;889;26;459
2022-06-02 12:20:14+00:00;Hier ist ein Podcast von @kakape, leicht verständlich und klar, der fast alles, was man zu #Affenpocken derzeit weiß, gut zusammenfasst. Sehr hörenswert https://t.co/FK2bjXymJo;508;84;325
2022-06-01 20:04:57+00:00;Die vierte Impfung senkte das Risiko gegen schwere Krankheit im Vergleich zur 3. Dosis um weitere 77%. Damit wäre das Risiko auch älterer Menschen SEHR GERING, schwer zu erkranken. Der Schutz hält auch relativ lange an. Wir nutzen die 4. Impfung zu wenig.  https://t.co/6IlRtf5p9z;2890;412;2519
2022-06-01 18:58:24+00:00;Die korrigierte WHO Studie zur Übersterblichkeit durch COVIDzeigt, dass Deutschland bisher relativ gut durch die Pandemie kam. Mit einer besseren Impfquote könnten wir noch mehr erreichen. https://t.co/ek8heRLDUS;1267;152;1678
2022-06-01 09:32:01+00:00;Das @rki_de hat in der Corona-Krise internationale Beachtung gefunden. Wenige Länder verfügen über ein solche Einrichtung. Daher hat sein Rat Internationales Gewicht. Ein guter Arbeitsplatz für engagierte WissenschaftlerInnen. https://t.co/pmyFlZ67Ff;763;63;812
2022-06-01 09:01:10+00:00;Wer 2,5 Jahre nach Beginn der Pandemie noch bezweifelt, dass Masken im Innenraum schützen, ist in der Regel durch Ideologie motiviert. Ihn/Sie werden auch Studien mit 20 Mio Teilnehmern nicht überzeugen. Trotzdem ist die Studie wichtig für unser Handeln, gerade im Herbst. https://t.co/ytJv9ocoE2;4758;555;2246
2022-05-31 20:39:51+00:00;In Portugal zeigt sich leider, dass mit der BA5 Omicron Variante auch die Sterblichkeit wieder steigt. Im Herbst müssen wir darauf vorbereitet sein.  https://t.co/1DVTSS9tV4;3045;485;2731
2022-05-31 18:18:25+00:00;Mit dem Gesundheitswissenschaftler Gerd Glaeske stirbt ein Pionier der Forschung zur Arzneimittelsicherheit. Ich habe ihn als Persönlichkeit und Wissenschaftler geschätzt. Er hinterlässt ein große Lücke. Mein Beileid der Familie und den Freunden.  https://t.co/XhVUWaUZUs;706;51;116
2022-05-30 16:46:20+00:00;Hier gute Info @rki_de zur Isolierung bei Affenpocken Infektion. Der bestellte Impfstoff, 40.000 Einheiten im Juni, kann für Kontakte von Infizierten und Risikogruppen genutzt werden. 200.000 Einheiten kommen später. Das Impfkonzept wird mit Fachleuten auch aus Praxis entwickelt https://t.co/A5uqJCBzkJ;734;100;977
2022-05-30 15:28:46+00:00;Das ist eine eher schlechte Entwicklung. Die besonders ansteckende Variante BA4/BA5 ist auch bei uns auf dem Vormarsch. Dies könnte im Herbst die nächste Welle werden. https://t.co/GRRvjVWuIO;1887;355;2508
2022-05-29 15:24:54+00:00;In den USA läuft die BA4/5 Welle jetzt schon an. Das könnte uns im Herbst bevorstehen. Die Vorbereitung muss jetzt geschehen. Eine komplette Normalität wie Herbst 2019 ist leider sehr unwahrscheinlich. Aber es wird besser als 2021. https://t.co/F7jAd4t5ve;1609;260;1903
2022-05-29 15:08:41+00:00;Gute Zusammenfassung. Danke @kakape https://t.co/XRDq6LLKTp;311;28;137
2022-05-29 12:40:37+00:00;Das sind in der Tendenz gute Nachrichten. Affenpocken mutieren sehr wenig und die bisherigen neuen Mutationen deuten bisher nicht auf einen neuen höheren R-Wert hin. Die Größe der Ansteckungscluster könnte entscheidend sein. Aber alles noch vorläufig. https://t.co/y3L3hPsQt5;611;51;459
2022-05-28 22:03:12+00:00;Ohne Ärzte keine Krankheit? Vielleicht denken wir alle zu kompliziert und die Lösungen sind so einfach… https://t.co/gO9BWo8pGM;15372;973;2094
2022-05-27 17:59:06+00:00;Die charakterliche Integrität von @svenlehmann kann ich bestätigen. Aber auch die Fachkompetenz.  Eine erfolgreiche Zusammenarbeit beim Thema Affenpocken gelingt zB nur, indem wir ohne Diskriminierung mit einem glaubwürdigen Queer Beauftragen Risikogruppen erreichen. https://t.co/feb70EmZIk;1362;69;779
2022-05-26 21:58:34+00:00;Lesenswertes Interview zu Affenpocken mit einem Spezialisten https://t.co/C2aFOXLup0;569;74;611
2022-05-26 11:40:48+00:00;Ich begrüße diesen Schritt ausdrücklich. Gute Medizin steht auf dem Boden der Wissenschaft. Für Homöopathie gibt es dort keinen Platz. In einer solchen Frage muss man Farbe bekennen. https://t.co/jogtEW6Nbm;11202;806;1619
2022-05-26 08:16:38+00:00;Diese Studie zu #LongCovid und Impfungen ist wichtig, auch wenn das Ergebnis ernüchtert. Das #LongCovid Risiko sinkt durch die Impfungen, aber nicht so stark wie erhofft. Daher ist die Vermeidung der Infektion durch freiwilliges Maskentragen weiter sinnvoll. https://t.co/ZcsUDTrHhi;2461;444;1804
2022-05-25 17:53:15+00:00;Bin heute Abend bei Markus #Lanz zu Gast. Ein Thema: Affenpocken. Es werden heute keine Verordnungen oder Gesetze einkassiert 😉 Kommentare willkommen.  https://t.co/G9Ruwtzk6K;2584;124;2018
2022-05-25 17:42:34+00:00;Im ⁦@TheLancet⁩ erscheint Preprint zur Wirkung 4. Dosis mRNA bei Ü 80 J in Pflege. Sterblichkeit Omicron sank um mehr als 1/3. Die 4. Dosis wird in Deutschland viel zu wenig genutzt. Omicron gilt zu Unrecht als harmlos, täglich sterben 100 Menschen https://t.co/UKFggCreg6;778;143;1002
2022-05-24 19:59:11+00:00;Together we can achieve a lot. New pandemics can be prevented if we educate people how it can be done. WHO is rising to this challenge. https://t.co/gO3ndRgBXg;588;56;411
2022-05-24 14:22:46+00:00;Just er-elected as ⁦Director General of #WHO: @DrTedros⁩. 155/160 votes, spectacular result. Congratulations, fully deserved. https://t.co/UuHvnQKD4p;1868;474;598
2022-05-24 14:18:10+00:00;Die Omicron BA1 Variante verlief leichter als die nach ihr aufgetretene BA2 Variante. BA4/BA5 und BA2.12.1 noch unklar. Es gibt auf keinen Fall ein Gesetz: Evolution macht Virus immer harmloser. Daher ist die Herbst Vorbereitung mit mehreren Impfstoffen wichtig. https://t.co/9VUVxDCRPg;935;96;905
2022-05-24 07:57:31+00:00;Gleich geht es los auf dem Ärztetag. Die KollegInnen sind neugierig auf meine Rede. Kollege Reinhardt hat mich heute schon kritisiert. Aber sehr fair. https://t.co/AKFHJE4hRA;2533;93;1815
2022-05-24 07:33:42+00:00;Es ist der Hass von wenigen Frustrierten. Aber die Mehrheit der Bürger, auch kritische Menschen, sind friedlich. Das schätze ich an ihnen. https://t.co/eN90JvPMlN;4061;212;2131
2022-05-24 06:55:51+00:00;Coronaimpfung macht nicht unfruchtbar. Das Gerücht hält sich leider immer noch. https://t.co/kBiG5bRIDx;1533;159;1080
